Date,Open,Close,High,Low,Volume_(BTC),Volume_(Currency),Weighted_Price
2015-06-11,229.9,229.43,230.92,229.01,6389.57135691,1467858.9179580705,229.7875801474375
2015-06-12,229.42,230.28,231.32,228.79,5935.16845985,1365733.346023741,230.02748673239586
2015-06-13,230.17,233.4,233.62,229.59,4654.77550065,1079301.4971806458,231.37475950236808
2015-06-14,233.4,235.36,235.91,233.23,3836.4564187299998,898277.0155148581,234.09633785879862
2015-06-15,235.36,237.14,238.5,234.57,6733.58323954,1593306.169917646,236.1639736270278
2015-06-16,237.15,249.46,254.63,236.72,11161.13628371,2747667.2100991695,244.37929586947914
2015-06-17,249.4,248.55,259.46,247.0,10123.9572539,2549997.542999189,251.72828037165277
2015-06-18,248.57,249.46,253.29,243.51,7717.41184559,1925474.447312492,249.2381538383611
2015-06-19,249.46,242.64,251.05,242.07,6234.96277843,1543815.033727718,247.75575343693748
2015-06-20,242.65,244.87,246.99,240.46,4860.30141523,1186715.906337889,243.96122637331945
2015-06-21,244.87,245.04,246.98,242.0,4418.40463575,1079886.9381359569,244.5671369407847
2015-06-22,245.09,247.98,248.5,244.14,6120.63131245,1510168.663053348,246.5597866840764
2015-06-23,247.99,243.52,248.01,243.01,5754.25552348,1407953.424729002,244.7329637264653
2015-06-24,243.52,241.44,243.91,239.51,5610.48809171,1355909.8057678181,242.03195663159025
2015-06-25,241.42,242.64,243.44,240.12,6353.2119451,1538863.682391157,242.1580203184722
2015-06-26,242.69,242.87,243.46,239.91,6560.66252629,1587039.8222365421,242.04734061671527
2015-06-27,242.85,251.61,252.22,242.83,5923.67421361,1469414.364788463,247.11465723615973
2015-06-28,251.63,251.56,251.63,247.51,5157.90595674,1288926.5366626412,249.88616801770138
2015-06-29,251.53,259.17,260.08,249.74,11697.09783489,2986673.685169923,254.62566304628473
2015-06-30,259.16,262.19,269.39,259.15,11687.46287604,3086021.2208015206,264.03469482599303
2015-07-01,262.18,260.22,262.56,255.12,8694.09410238,2252063.807606564,258.902571431118
2015-07-02,260.07,256.25,260.7,253.0,18773.97412642,4819043.368185812,256.4427191608195
2015-07-03,256.25,254.99,257.39,252.77,5228.41682306,1335484.8517836966,255.31118116061808
2015-07-04,254.99,261.81,262.86,254.4,4484.07673261,1157705.949820462,257.98605550266666
2015-07-05,261.83,268.51,275.25,258.99,9439.52126918,2531594.502283318,265.3354102056667
2015-07-06,268.54,271.69,277.88,268.3,10241.87372898,2798345.598769578,272.72177118040275
2015-07-07,271.74,265.59,271.9,264.41,6938.91630351,1856301.781794621,267.6352135005903
2015-07-08,265.59,269.63,273.97,264.86,8738.24355142,2359131.95040239,269.4686182133195
2015-07-09,269.64,270.82,272.5,268.45,6700.62205895,1812283.077162658,270.48677040829864
2015-07-10,270.78,286.94,294.71,269.73,16298.3078113,4662458.424811332,283.8221325165
2015-07-11,286.59,303.1,303.99,286.59,10467.71780492,3092095.170739837,293.95651235550696
2015-07-12,303.11,307.41,316.52,298.21,11733.13993289,3621042.384769193,307.4945710564028
2015-07-13,307.13,293.21,309.02,281.62,13054.15811029,3799548.918462034,292.1512995603055
2015-07-14,293.2,290.08,297.78,286.25,6794.03493553,1978584.156870744,290.9533668300139
2015-07-15,290.08,289.07,294.11,284.98,8335.1359228,2420315.104882594,290.8742913945486
2015-07-16,289.07,278.34,289.58,275.0,8460.62346659,2367731.484573812,280.91975270518054
2015-07-17,278.33,279.15,281.38,272.64,7039.39586479,1959490.500239137,278.04419957484726
2015-07-18,279.12,278.47,282.71,276.34,4388.47878028,1222966.3292130444,278.65617398390975
2015-07-19,278.47,276.75,278.48,273.34,4428.67070766,1222807.379930699,276.3946485487431
2015-07-20,276.68,281.04,281.15,276.45,5948.34042623,1656877.498891495,278.38851112481944
2015-07-21,281.04,276.91,281.27,276.01,5003.69321001,1396021.167312799,279.1115490691736
2015-07-22,276.85,277.89,279.75,275.01,5032.70868895,1395558.109810276,277.24135012717363
2015-07-23,277.88,276.99,278.62,276.28,5300.58571092,1469711.5627783188,277.3530024722847
2015-07-24,277.0,289.06,291.52,277.0,7809.62095234,2233393.608246936,285.2728215292847
2015-07-25,289.05,289.55,291.67,287.62,4169.6949967,1206940.5083734614,289.3803419385694
2015-07-26,289.54,292.95,294.96,288.65,4585.55135331,1341364.6515329436,292.03309031264587
2015-07-27,292.88,295.23,297.87,287.24,7333.7060304,2145926.128420662,292.0199085796042
2015-07-28,295.23,295.33,298.0,293.69,5649.62960743,1671183.240555157,295.8227615159167
2015-07-29,295.33,289.72,295.33,288.24,5359.00261855,1559981.3932140516,290.9701740462222
2015-07-30,289.72,288.31,291.56,286.56,5465.4720035,1577278.944354225,288.53689566595835
2015-07-31,288.31,283.66,288.81,282.25,5995.93230149,1709751.514875315,284.921224392125
2015-08-01,283.78,279.84,284.0,277.26,4320.70739673,1212136.5125297895,280.5509703798264
2015-08-02,279.9,280.6,282.62,277.33,4080.84666061,1146365.5229017744,280.818868722875
2015-08-03,280.59,284.49,285.86,280.11,5739.92960845,1626552.281454238,283.31044619754863
